id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-08-04T18:32:06;Berkshire
2;backing Plastic Associate;payment;2022-08-04T13:48:09;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-08-05T04:01:10;Cambridgeshire Carolina
4;invoice;Health;2022-08-04T17:09:00;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-08-05T00:40:26;pink Dollar syndicate
6;silver payment;digital Executive;2022-08-05T01:45:10;Business-focused Michigan
7;Streets Web;Investment;2022-08-05T05:58:49;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-08-05T05:09:17;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-08-05T04:36:05;Louisiana
10;Automotive;Sports Concrete;2022-08-04T18:30:18;Producer 24/7 California
