id;role_name;description;last_modified;last_modified_by
1;open-source Chief digital;optical port;2022-08-04T21:20:42;programming Implementation Spurs
2;Avon Executive;open-source Vermont;2022-08-04T22:41:50;up Place Technician
3;Rubber Dinar;Consultant Group Money;2022-08-04T16:57:39;Heights
4;red;Loan Incredible Technician;2022-08-04T23:25:05;methodology RSS
5;Saint feed connecting;Plain Account Direct;2022-08-04T09:59:50;toolset Avon Mauritius
6;mobile deposit;online;2022-08-04T18:29:23;Infrastructure Borders withdrawal
7;GB Account;calculate;2022-08-04T21:13:05;infrastructures
8;Automotive Pants;payment deposit;2022-08-04T19:13:17;Markets Group
9;virtual deposit;Rica Botswana programming;2022-08-05T02:47:52;Table
10;hack;Manager up Technician;2022-08-04T20:19:30;invoice
