id;parameter_type;description;display_value;last_modified;last_modified_by;created_by;created_on;is_deleted
1;EXECUTIVE_TITLE;Ameliorated methodologies;systematic optical management;2022-08-04T23:56:32;Architect;microchip Bedfordshire Checking;2022-08-04T21:50:27;true
2;MEASURING_UNIT;overriding Aruban;navigating;2022-08-04T17:48:38;Borders;Checking;2022-08-05T04:07:19;false
3;EXECUTIVE_TITLE;deliverables Technician;Versatile ROI;2022-08-05T05:09:31;Berkshire Card;cross-platform;2022-08-05T07:46:54;false
4;RELIGION;deposit;Credit;2022-08-05T03:53:49;Cotton;sticky Beauty;2022-08-04T23:15:09;false
5;ACCOUNT;Metal PCI Focused;back-end vertical;2022-08-04T17:17:34;Sleek Hat;web-enabled optimal;2022-08-04T20:28:40;false
6;ACCOUNT;parse;Shirt copying;2022-08-04T10:23:22;New;Connecticut Customizable;2022-08-05T06:12:46;true
7;ACCOUNT;Avon Arizona;infrastructures ROI;2022-08-04T22:34:51;24/365 Reactive;York;2022-08-05T09:04:15;false
8;RESOLUTION;Practical;Liaison Florida;2022-08-04T21:06:56;lime Tasty;Incredible;2022-08-05T02:50:44;true
9;BELONGING;Markets;Interactions deposit;2022-08-05T03:19:08;Road navigating Manat;Eritrea indigo integrated;2022-08-04T15:54:56;true
10;BELONGING;virtual Licensed turquoise;Beauty;2022-08-05T06:25:22;Borders TCP Spain;Ergonomic Fields;2022-08-05T09:46:15;false
